Location ID,Name
205,Albany (NY)
196,Albuquerque (NM)
81,Alexandria (VA)
122,Anaheim (CA)
229,Anchorage (AK)
156,Arlington (VA)
18,Atlanta (GA)
101,Austin (TX)
114,Baltimore (MD)
29,Boston (MA)
230,Charleston (SC)
105,Charlotte (NC)
38,Chicago (IL)
124,Cincinnati (OH)
132,Cleveland (OH)
99,Columbia (MD) 
147,Columbus (OH)
125,Dallas (TX)
123,Dayton (OH)
80,Denver (CO)
16,Detroit (MI)
195,Edison (NJ)
90,Fairfax (VA)
148,Fort Lauderdale (FL)
135,Hartford (CT)
170,Honolulu (Hi)
41,Houston (TX)
293,Huntington (WV)
207,Huntsville (AL)
204,Indianapolis  (IN)
121,Irvine (CA)
118,Jacksonville(FL)
227,Kansas City (MO)
39,Las Vegas (NV)
151,Live e-learning
32,Los Angeles (CA)
134,Louisville (KY)
212,Madison (WI)
53,Manassas (VA)
100,Memphis (TN)
206,Miami (FL)
139,Milwaukee (WI)
115,Minneapolis (MN)
138,Nashville (TN)
236,New Orleans (LA)
55,New York (NY)
95,Oklahoma City (OK)
234,Omaha (NE)
91,Online
133,Orlando (FL)
186,Parsippany (NJ)
40,Philadelphia (PA)
50,Phoenix (AZ)
225,Pittsburgh (PA)
84,Portland (OR)
184,Princeton (NJ)
51,Raleigh (NC)
157,Reston (VA)
86,Richmond (VA)
94,Rockville (MD)
87,Sacramento (CA)
214,Salt Lake City (UT)
198,San Antonio (TX)
88,San Diego (CA)
82,San Francisco (CA)
25,San Jose (CA)
30,Seattle (WA)
179,Simi Valley (CA)
140,St. Louis (MO)
239,Tallahassee (FL)
28,Tampa (FL)
93,Tysons Corner (VA)
20,Washington (DC)
